"Quantity","Name","Soft deleted?","Toy ID","Toy name"
"0","felt carrot sticks","Yes","1107","Healthy Salad"
"0","tops","Yes","870","Baby doll with clothes"
"0","shaker","Yes","1104","Step 2 Cafe Barista"
"1","Cube","","1350","scramble play soft blocks"
"1","Rectangle","","1350","scramble play soft blocks"
"1","Triangle","","1350","scramble play soft blocks"
"1","Arch","","1350","scramble play soft blocks"
"1","Cylinder","","1350","scramble play soft blocks"
"1","Transporter","","1196","Transporter Truck"
"1","Oxygen and mask","","1331","fire station set"
"1","Thomas","","882","Thomas Race Set"
"1","Baby","","903","Baby Dress Up"
"1","White nappy","","903","Baby Dress Up"
"1","Denim overalls","","903","Baby Dress Up"
"1","White apron","Yes","903","Baby Dress Up"
"1","Red Cross nurse hat","","903","Baby Dress Up"
"1","Red Cross white top","","903","Baby Dress Up"
"1","White pants","","903","Baby Dress Up"
"1","surgical mask","Yes","903","Baby Dress Up"
"1","Blue surgeon's top","","903","Baby Dress Up"
"1","Blue police pants","","903","Baby Dress Up"
"1","Blue police top","","903","Baby Dress Up"
"1","Black pants","","903","Baby Dress Up"
"1","White chefs hat","","903","Baby Dress Up"
"1","White chefs top","Yes","903","Baby Dress Up"
"1","Yellow top","Yes","903","Baby Dress Up"
"1","Blue builder overalls","","903","Baby Dress Up"
"1","Yellow & red fireman top","Yes","903","Baby Dress Up"
"1","Yellow fireman pants","Yes","903","Baby Dress Up"
"1","Hippo","","879","Clipo Hippo"
"1","Orange lid","","879","Clipo Hippo"
"1","Yellow bird","","879","Clipo Hippo"
"1","Blue rectangle","","879","Clipo Hippo"
"1","White base with element","","611","Discover Sounds - Stackin Pans"
"1","Battery cover","","611","Discover Sounds - Stackin Pans"
"1","Purple frying pan","","611","Discover Sounds - Stackin Pans"
"1","Yellow pot","","611","Discover Sounds - Stackin Pans"
"1","Orange lid","","611","Discover Sounds - Stackin Pans"
"1","Red lid","","611","Discover Sounds - Stackin Pans"
"1","Green colander","","611","Discover Sounds - Stackin Pans"
"1","Blue pot","","611","Discover Sounds - Stackin Pans"
"1","Torch","","1335","Crazy colours torch"
"1","Doll","","1283","Snap n style Doll"
"1","Hat","","1283","Snap n style Doll"
"1","Brush","","1283","Snap n style Doll"
"1","Yellow shawl","","1283","Snap n style Doll"
"1","Yellow top","","1283","Snap n style Doll"
"1","Purple top","","1283","Snap n style Doll"
"1","Blue skirt","","1283","Snap n style Doll"
"1","Purple top","","538","Ultrasaucer"
"1","Seat cover","","538","Ultrasaucer"
"1","Red base","","538","Ultrasaucer"
"1","Jester","","538","Ultrasaucer"
"1","Castle","","538","Ultrasaucer"
"1","Orange door","","538","Ultrasaucer"
"1","King and queen","","538","Ultrasaucer"
"1","Flag","","538","Ultrasaucer"
"1","Purple crown","","538","Ultrasaucer"
"1","Bouncer chair","","1091","Baby Bouncer Tiny Love"
"1","Grippy crab","","1091","Baby Bouncer Tiny Love"
"1","Green bug","","1091","Baby Bouncer Tiny Love"
"1","Orange hippo","","1091","Baby Bouncer Tiny Love"
"1","Snail","Yes","1328","Fisher Price Building Table"
"1","Head","Yes","1328","Fisher Price Building Table"
"1","Boat with mast","","1330","Wooden Transport Set"
"1","Head with yellow hat","","1330","Wooden Transport Set"
"1","Head with red hat","","1330","Wooden Transport Set"
"1","Green flower shape","","1330","Wooden Transport Set"
"1","Life ring","","1330","Wooden Transport Set"
"1","Yellow shape","","1330","Wooden Transport Set"
"1","Orange shape","","1330","Wooden Transport Set"
"1","Red shape","","1330","Wooden Transport Set"
"1","Green and orange shape","","1330","Wooden Transport Set"
"1","Black shape","","1330","Wooden Transport Set"
"1","Fire truck","","818","Viking Fire Truck"
"1","Hammer","","309","mixed baby toys"
"1","Train","Yes","309","mixed baby toys"
"1","Klakaroo","","309","mixed baby toys"
"1","Base","","1345","3 diggers chunky puzzle"
"1","Fire station","","1246","Tumblekins Fire Station"
"1","Fire engine","","1246","Tumblekins Fire Station"
"1","Person","","1246","Tumblekins Fire Station"
"1","Slide","","317","Slide"
"1","Lab coat","","1268","Doc Mcstuffins dressup"
"1","Leggings","","1268","Doc Mcstuffins dressup"
"1","Headband","","1268","Doc Mcstuffins dressup"
"1","preschool with mat and battery cover","","562","Time to Learn Preschool"
"1","slide","","562","Time to Learn Preschool"
"1","swing and see-saw","","562","Time to Learn Preschool"
"1","piano","","562","Time to Learn Preschool"
"1","easel","","562","Time to Learn Preschool"
"1","information sheet","","562","Time to Learn Preschool"
"1","turtle","","871","Pop up Turtle"
"1","hammer","","871","Pop up Turtle"
"1","yellow car","","1035","Clippo Animals"
"1","triangle block","","1035","Clippo Animals"
"1","giraffe cylinder","","1035","Clippo Animals"
"1","box","","1035","Clippo Animals"
"1","lid","","1035","Clippo Animals"
"1","base plate","","1305","Peg Board"
"1","boat","","248","Floaty Boat"
"1","star ring","Yes","248","Floaty Boat"
"1","fish","Yes","248","Floaty Boat"
"1","dolphin","","248","Floaty Boat"
"1","turtle with battery cover","","571","Twirlin Whirlin Turtle"
"1","cookie monster with 3 suction cups","","398","Cookie Monster Pots and Pans"
"1","yellow colander","","398","Cookie Monster Pots and Pans"
"1","orange frying pan","","398","Cookie Monster Pots and Pans"
"1","red pot","","398","Cookie Monster Pots and Pans"
"1","green spoon","","398","Cookie Monster Pots and Pans"
"1","purple spatular","","398","Cookie Monster Pots and Pans"
"1","pink spatular","","398","Cookie Monster Pots and Pans"
"1","wooden ramp block","","714","Pound the Ball"
"1","hammer","","714","Pound the Ball"
"1","case","","183","Suitcase Shape Sorter"
"1","green shape","","183","Suitcase Shape Sorter"
"1","blue shape","","183","Suitcase Shape Sorter"
"1","white shape","","183","Suitcase Shape Sorter"
"1","yellow shape","","183","Suitcase Shape Sorter"
"1","orange shape","","183","Suitcase Shape Sorter"
"1","jungle","","824","Busy Bouncing Zoo"
"1","hammer","","824","Busy Bouncing Zoo"
"1","over door hook","","74","Jolly Jumper"
"1","chain","","74","Jolly Jumper"
"1","blue seat with harness","","74","Jolly Jumper"
"1","plastic cross bar","","74","Jolly Jumper"
"1","caterpillar","","159","Looper & Friends"
"1","tree","","159","Looper & Friends"
"1","ladybird","","159","Looper & Friends"
"1","seal","","159","Looper & Friends"
"1","flower","","159","Looper & Friends"
"1","jack in a barrel","","148","Magic Man and Barrel Jack"
"1","jack on a ball","","148","Magic Man and Barrel Jack"
"1","yellow bus (without door)","","1133","Little People School Bus"
"1","activity triangle","","492","Tolo Activity Centre"
"1","turtle","","547","Tappy Turtle"
"1","hammer","","547","Tappy Turtle"
"1","base with battery cover","","1278","Farm sounds block"
"1","dump truck","","603","Little People - DumpTruck"
"1","man","","603","Little People - DumpTruck"
"1","toy with bird on top","","235","Twist n Learn and Tweet n Twirl"
"1","toy with 3 sections","","235","Twist n Learn and Tweet n Twirl"
"1","helicopter","","642","Harry Copters Animal Rescue"
"1","pilot","","642","Harry Copters Animal Rescue"
"1","crocodile","","642","Harry Copters Animal Rescue"
"1","lion","Yes","642","Harry Copters Animal Rescue"
"1","base","","1312","clock stacker"
"1","cottage with orange lid","","780","Animal Cottage"
"1","green triangle","","780","Animal Cottage"
"1","green elephant","","780","Animal Cottage"
"1","pink hippo","","780","Animal Cottage"
"1","pink trapezoid","Yes","780","Animal Cottage"
"1","blue whale","","780","Animal Cottage"
"1","blue star","","780","Animal Cottage"
"1","orange bear","","780","Animal Cottage"
"1","Orange circle","","780","Animal Cottage"
"1","yellow square","","780","Animal Cottage"
"1","yellow horse","","780","Animal Cottage"
"1","letter box","","1155","Fisher Price Letters Postbox"
"1","parcel","","1155","Fisher Price Letters Postbox"
"1","0","","J242","Wooden Number Puzzle"
"1","1","","J242","Wooden Number Puzzle"
"1","2","","J242","Wooden Number Puzzle"
"1","3","","J242","Wooden Number Puzzle"
"1","4","","J242","Wooden Number Puzzle"
"1","5","","J242","Wooden Number Puzzle"
"1","6","","J242","Wooden Number Puzzle"
"1","7","","J242","Wooden Number Puzzle"
"1","8","","J242","Wooden Number Puzzle"
"1","9","","J242","Wooden Number Puzzle"
"1","base","","J242","Wooden Number Puzzle"
"1","base","","J241","Wooden Shapes"
"1","base","","J116","Spider textured"
"1","base","","J212","World Atlas"
"1","board","","J74","Fire Tray puzzle"
"1","board","","J233","train puzzle"
"1","board","","108","Funny Animal Match Up"
"1","board","","J266","Animals of the world"
"1","board","","J89","Dog/Cat/Pig"
"1","Cat","","J89","Dog/Cat/Pig"
"1","dog","","J89","Dog/Cat/Pig"
"1","pig","","J89","Dog/Cat/Pig"
"1","base","","J58","Four Seasons -4 layers"
"1","board","","J227","Wooden New Zealand Map"
"1","base","","J135","Inside Story Market Stall"
"1","base","","J136","Flight Puzzle"
"1","base","","J71","Night Cats"
"1","board","","J72","School Tray Puzzle"
"1","base","","1343","9 animal wooden peg puzzle"
"1","base","","1342","5 rabbit peg puzzle"
"1","base","","J98","Farm Animals and Offspring"
"1","base","","J12","Maori Numbers 1-5"
"1","base","","J93","Dolphin"
"1","base","","J5","Number Owl Puzzle"
"1","base","","J65","Roadworks"
"1","board","","J767","Rooster"
"1","board","","J108","Months and Seasons"
"1","wake up bear","","1317","Book Pack Bears"
"1","lets go home little bear","","1317","Book Pack Bears"
"1","can't you sleep little bear","","1317","Book Pack Bears"
"1","night night cuddly bear","","1317","Book Pack Bears"
"1","ths is the bear","","1317","Book Pack Bears"
"1","little bears trousers","","1317","Book Pack Bears"
"1","bertie and the bear","","1317","Book Pack Bears"
"1","when the teddy bears come","","1322","Book Pack Bears2"
"1","what will you wear Jessie bear?","","1322","Book Pack Bears2"
"1","you and me little bear","","1322","Book Pack Bears2"
"1","well done little bear","","1322","Book Pack Bears2"
"1","old bear","","1322","Book Pack Bears2"
"1","jolly tall","","1322","Book Pack Bears2"
"1","find me a tiger","","1324","Book Pack Animals2"
"1","K is for kissing a cool kangeroo","","1324","Book Pack Animals2"
"1","rumble in the jungle","","1324","Book Pack Animals2"
"1","the smallest turtle","","1324","Book Pack Animals2"
"1","when sheep cannot sleep","","1324","Book Pack Animals2"
"1","that pesky rat","","1324","Book Pack Animals2"
"1","the little tractor","","1319","Book Pack trucks"
"1","farm machines","","1319","Book Pack trucks"
"1","the dump truck","","1319","Book Pack trucks"
"1","little red tractor to the rescue","","1319","Book Pack trucks"
"1","machine poems","","1319","Book Pack trucks"
"1","up goes the sky scraper","","1319","Book Pack trucks"
"1","the terrible dinosaurs","","1321","Book Pack Dinosaurs"
"1","our mammoth","","1321","Book Pack Dinosaurs"
"1","dinosaur bob","","1321","Book Pack Dinosaurs"
"1","Lucy and the sea monster","Yes","1321","Book Pack Dinosaurs"
"1","daniels dinosaur","","1321","Book Pack Dinosaurs"
"1","Rangi and his dinosaurs","","1321","Book Pack Dinosaurs"
"1","the most obediant dog in the world","","1325","Book Pack Dogs"
"1","daisy all-sorts","","1325","Book Pack Dogs"
"1","puppy love","","1325","Book Pack Dogs"
"1","Our Puppy's holiday","","1325","Book Pack Dogs"
"1","scruff","","1325","Book Pack Dogs"
"1","prince what-a-mess","","1325","Book Pack Dogs"
"1","turtle's song","","1323","Book Pack animals"
"1","albie","","1323","Book Pack animals"
"1","owl babies","","1323","Book Pack animals"
"1","the mixed up chameleon","","1323","Book Pack animals"
"1","farm yard hullabaloo","","1323","Book Pack animals"
"1","giraffes can't dance","","1323","Book Pack animals"
"1","book","","T84","Firetruck - Sing and Read Songbook"
"1","CD","","T84","Firetruck - Sing and Read Songbook"
"1","Mrs Armatage and the big wave","","1326","Book Pack Seaside"
"1","the light house keepers catastrophe","","1326","Book Pack Seaside"
"1","Mr Bear shipwrecked","","1326","Book Pack Seaside"
"1","Grandpa and Thomas","","1326","Book Pack Seaside"
"1","Gone Fishing","","1326","Book Pack Seaside"
"1","little turtle","","1326","Book Pack Seaside"
"1","When Martha's away","","1320","Book Pack cats"
"1","hairy  mcclary's show business","","1320","Book Pack cats"
"1","slinky malinky","","1320","Book Pack cats"
"1","cloudy","","1320","Book Pack cats"
