toy_id,toy_name,total_pieces,missing_pieces
2,Bouncy Castle,21,0
3,Wooden Coffee Shop Set,12,0
5,Wooden vehicles,7,0
6,Baby with  outfits,6,2
7,Superhero costume,2,0
8,Purple spotty dress,2,0
13,Pull along chicken,5,0
14,Eddies Doctors Visit,6,1
15,Baby fun time,34,3
16,Wooden Building Blocks,54,0
18,Bean bag games,6,0
19,Big basketball stand,6,0
21,Little people helicopter,2,0
22,Wooden chunky train,3,0
23,Wooden Beads,64,29
24,Carry Along Workshop,15,0
25,Wooden Toaster,3,0
26,Wooden chunky train 2,5,0
27,Wooden chunky tractor,2,0
28,Shopping Cart & Groceries,7,0
30,Duplo - Dino World,61,0
31,Crane,6,0
33,Music Set,7,1
35,Vehicle puzzle knobs,9,0
36,Violet Puppy with High Chair & Accessories,5,1
37,My Little Pony Flower Tree,8,0
38,Music set 1,5,0
39,Music set 2,16,4
41,Green trike tractor john deere,5,0
42,Big dog truck,4,0
45,Music set,22,1
46,Mega blocks fire truck,2,0
47,Big Strike Bowling Set,8,0
50,Touch n Learn Cot Toy,7,0
53,Duplo Zoo Park,60,1
54,Unicorn with fairy friends,4,0
55,Wooden block shape puzzle,19,0
56,Scales & Bears,109,0
58,Star wars puzzle,102,0
59,Ben 10 puzzle,102,0
60,Daisy Flowers,156,0
63,race car transporter,3,0
64,John Deere Tractor Engine,87,30
65,Doc McStuffins puzzle tin,26,0
67,Australian animal 6 in 1 block puzzle,11,0
68,Princess Mystery Box,16,0
69,Find it 123 50 piece floor puzzle,50,0
70,Vtech Pull and Play Elephant,5,0
72,Mobilio,141,0
73,Small car slopes,5,0
74,Jolly Jumper,4,0
75,Duplo- Arctic Set,47,0
78,Turtle Recall Game,20,0
79,All in one coffee shop,14,3
80,Happy Villa dolls house,30,8
81,Tool bench,60,37
84,Vtech Pet Playground,13,0
85,Wooden clock puzzle,13,0
86,Baking Set,13,0
87,Bead lacing,32,0
88,Paw patrol matching game,73,0
89,Paw patrol giant puzzle,46,0
91,dolls bunk beds,5,0
