"ID","Name","Status","Date purchased","Category","Age Range","Manufacturer","Edit"
"1","latches board 2","In library","2017-09-08","Baby: Toys for 0-2","12-36mths","Melissa and Doug","Edit"
"10","CAT mini loader","In library","2020-08-08","Preschool: 2+ yr olds","1-5yrs","CAT","Edit"
"100","disney cars duplo set","In library","2018-01-22","Construction: Blocks, trains, magnets...","3-5yrs","Lego","Edit"
"1000","container ship","In library","","Preschool: 2+ yr olds","3 years +","","Edit"
"1002","Brainbox Plug and Play","In library","","Over 5: Harder puzzles, games, small pieces, Lego","5 years +","","Edit"
"1006","Kazam Red Bike","In library","","Big: Big\outdoor\ride on","","","Edit"
"1007","Feed the Frog Golf Set","In library","","Preschool: 2+ yr olds","3 years +","","Edit"
"1009","Count & Scan Shop","On loan","","Preschool: 2+ yr olds","2-5 years","Leap Frog","Edit"
"101","duplo mini airport set","In library","2018-02-03","Construction: Blocks, trains, magnets...","2-5 years","Duplo","Edit"
"1011","Duplo Rescue Set","On loan","","Construction: Blocks, trains, magnets...","3 years +","Duplo","Edit"
"1013","Wooden Garage/Road Builder and Characters","In library","","Construction: Blocks, trains, magnets...","3 years +","","Edit"
"1014","Train Magnets","In library","","Preschool: 2+ yr olds","3 years +","","Edit"
"1015","Push a long rainbow","In library","","Baby: Toys for 0-2","12-36mths","","Edit"
"1016","Best friends Playhouse","In library","","Preschool: 2+ yr olds","18 mths +","","Edit"
"1017","Wooden Sushi Set","Missing","","Preschool: 2+ yr olds","3 years +","Melissa and Doug","Edit"
"1018","Stand n Play Ramp","In library","","Big: Big\outdoor\ride on","18 mths +","Fisher Price","Edit"
"102","Teclife Scooter","In library","2020-02-15","Big: Big\outdoor\ride on","5 years +","Unknown","Edit"
"1021","Bloktown Airport","In library","","Construction: Blocks, trains, magnets...","3 years +","Megablocks","Edit"
"1027","Girls Helmet","In library","","Big: Big\outdoor\ride on","","","Edit"
"1028","Harold Helicopter","On loan (overdue)","","Preschool: 2+ yr olds","18 mths +","Fisher Price","Edit"
"1029","Pop n Surprise Train 2","In library","","Baby: Toys for 0-2","18 mths +","","Edit"
"103","duplo stables set","On loan","2018-02-03","Construction: Blocks, trains, magnets...","2-5 years","Duplo","Edit"
"1032","Polly Pocket Make up Table","In library","","Over 5: Harder puzzles, games, small pieces, Lego","5 years +","Unknown","Edit"
"1035","Clippo Animals","In library","","Baby: Toys for 0-2","12-36mths","","Edit"
"1036","Fisher Price Ark","On loan","","Baby: Toys for 0-2","9-36mths","Fisher Price","Edit"
"1037","Push & Go Turtle","In library","","Baby: Toys for 0-2","6-12mths","Unknown","Edit"
"1038","Baby Jukebox","In library","","Baby: Toys for 0-2","6 - 36 mths","Fisher Price","Edit"
"104","Sparkly blue guitar","In library","2018-02-22","Music: CDs instruments and musical toys","12-36mths","","Edit"
"1040","Tonka Tool Kit","In library","","Preschool: 2+ yr olds","18 mths +","Tonka","Edit"
"1043","Firetruck","In library","","Big: Big\outdoor\ride on","12-36mths","","Edit"
"1044","Giraffe costume","In library","","Dress-Ups: dressing up items","12-36mths","","Edit"
"1045","Hey Thats My Fish","In library","","Over 5: Harder puzzles, games, small pieces, Lego","5 years +","","Edit"
"1047","Kids of Catan","In library","","Over 5: Harder puzzles, games, small pieces, Lego","4 years +","","Edit"
"1048","Brain Box ABC","In library","","Puzzles and games: For under 5s","4 years +","","Edit"
"1049","You Robot","In library","","Over 5: Harder puzzles, games, small pieces, Lego","","","Edit"
"105","Multi instrument guitar","In library","2020-07-11","Music: CDs instruments and musical toys","12-36mths","","Edit"
"1050","First Hand","In library","","Over 5: Harder puzzles, games, small pieces, Lego","5 years +","","Edit"
"1051","Chicken Cha Cha Cha","In library","","Puzzles and games: For under 5s","4 years +","","Edit"
"1053","Black/White Board","In library","","Big: Big\outdoor\ride on","2-5 years","","Edit"
"1054","Rocking horse","In library","","Big: Big\outdoor\ride on","1-5yrs","","Edit"
"1055","Mega Blocks Work Bench","In library","","Construction: Blocks, trains, magnets...","1-5yrs","Megablocks","Edit"
"1056","Fisher Price Fun town railway","In library","","Preschool: 2+ yr olds","1-5yrs","Fisher Price","Edit"
"1058","Little people building blocks","In library","","Big: Big\outdoor\ride on","1-5yrs","Fisher Price","Edit"
"106","Hammer and pegs 1","In library","2018-02-24","Baby: Toys for 0-2","9-36mths","","Edit"
"1061","Count and Scan Shop","In library","","Preschool: 2+ yr olds","2-5 years","Leap Frog","Edit"
"1062","Kids of Carcassonne","On loan (overdue)","","Over 5: Harder puzzles, games, small pieces, Lego","4 years +","","Edit"
"1063","Rivers Roads & Rails","In library","","Over 5: Harder puzzles, games, small pieces, Lego","5 years +","","Edit"
"1065","Wooden Lacing Shoe","In library","","Puzzles and games: For under 5s","3 years +","Melissa and Doug","Edit"
"1066","Shopping list","In library","","Puzzles and games: For under 5s","3 years +","","Edit"
"1068","Can You See What I See","In library","","Over 5: Harder puzzles, games, small pieces, Lego","4 years +","Gamewright","Edit"
"1069","Yellow Helmet","In library","","Big: Big\outdoor\ride on","18 mths +","","Edit"
"107","Hammer and pegs 2","In library","2018-02-24","Baby: Toys for 0-2","9-36mths","","Edit"
"1070","Fisher Price Train Set","In library","","Preschool: 2+ yr olds","2-5 years","Donated","Edit"
"1072","Pink Wooden Train Set","In library","","Construction: Blocks, trains, magnets...","3 years +","Unknown","Edit"
"1076","Duplo Cake Set","In library","","Construction: Blocks, trains, magnets...","1-5yrs","Duplo","Edit"
"1077","Wooden Tool Trolley","In library","","Preschool: 2+ yr olds","2-5 years","Unknown","Edit"
"1079","Weplay Blocks","In library","","Big: Big\outdoor\ride on","1-5yrs","Unknown","Edit"
"108","Funny Animal Match Up","In library","","Puzzles and games: For under 5s","2-5 years","Beleduc","Edit"
"1081","Fairy Costume","In library","","Dress-Ups: dressing up items","18 mths +","Unknown","Edit"
"1084","Bubble Wand","In library","","Preschool: 2+ yr olds","18 mths +","","Edit"
"1085","Little Tikes Sports and Slide","In library","","Big: Big\outdoor\ride on","1-5yrs","Little Tikes","Edit"
"1086","Giant Spinning Top","In library","","Big: Big\outdoor\ride on","","","Edit"
"1087","Pogo Stick","In library","","Big: Big\outdoor\ride on","5 years +","Triang","Edit"
"1088","Pink Scooter","In library","","Big: Big\outdoor\ride on","","","Edit"
"1089","Princess Elise Magnetic Dress Up","In library","","Puzzles and games: For under 5s","3 years +","","Edit"
"109","Fisher Price Walker 1#","In library","2020-02-15","Baby: Toys for 0-2","12-36mths","Fisher Price","Edit"
"1090","Junior Bouncer Trampoline","In library","","Big: Big\outdoor\ride on","18 mths +","","Edit"
"1091","Baby Bouncer Tiny Love","In library","","Big: Big\outdoor\ride on","0-6mths","Tiny Love","Edit"
"1092","Tutor Systems Level 3 or 4","In library","","Over 5: Harder puzzles, games, small pieces, Lego","4 years +","","Edit"
"1093","Tutor Systems Level 1 or 2","In library","","Over 5: Harder puzzles, games, small pieces, Lego","2-5 years","","Edit"
"1094","Schleich Farm Set","In library","","Preschool: 2+ yr olds","3 years +","","Edit"
"1095","Little Tikes Assortment","In library","","Preschool: 2+ yr olds","12-36mths","","Edit"
"1096","FM Radio","In library","","Over 5: Harder puzzles, games, small pieces, Lego","5 years +","","Edit"
"1097","Little Tikes Wagon","In library","","Big: Big\outdoor\ride on","","Little Tikes","Edit"
"1098","Duplo Supermarket-Cafe","In library","","Preschool: 2+ yr olds","2-5 years","Duplo","Edit"
"1099","Playskool Magic Tea Party","In library","","Preschool: 2+ yr olds","1-5yrs","Playskool","Edit"
