toy_id,toy_name,setls_internal_id,rental_price_cents,fetch_status
1,latches board 2,142928,100,ok
100,disney cars duplo set,142971,200,ok
1000,container ship,142199,200,ok
1006,Kazam Red Bike,142204,100,ok
1007,Feed the Frog Golf Set,142205,100,ok
101,duplo mini airport set,142972,100,ok
1011,Duplo Rescue Set,142209,200,ok
1014,Train Magnets,142212,50,ok
1015,Push a long rainbow,142213,50,ok
1016,Best friends Playhouse,142214,200,ok
1018,Stand n Play Ramp,142216,100,ok
1021,Bloktown Airport,142219,100,ok
1027,Girls Helmet,142223,50,ok
1028,Harold Helicopter,142224,100,ok
103,duplo stables set,142973,200,ok
1035,Clippo Animals,142230,50,ok
1036,Fisher Price Ark,142231,50,ok
1037,Push & Go Turtle,142232,50,ok
1038,Baby Jukebox,142233,50,ok
104,Sparkly blue guitar,142974,100,ok
1043,Firetruck,142236,200,ok
1044,Giraffe costume,142237,50,ok
1045,Hey Thats My Fish,142238,50,ok
1047,Kids of Catan,142240,100,ok
1048,Brain Box ABC,142241,50,ok
1049,You Robot,142242,50,ok
1050,First Hand,142243,50,ok
1055,Mega Blocks Work Bench,142248,100,ok
1056,Fisher Price Fun town railway,142249,200,ok
1058,Little people building blocks,142251,50,ok
106,Hammer and pegs 1,142976,50,ok
1062,Kids of Carcassonne,142255,100,ok
1063,Rivers Roads & Rails,142256,100,ok
1065,Wooden Lacing Shoe,142258,50,ok
1066,Shopping list,142259,50,ok
1068,Can You See What I See,142261,50,ok
1069,Yellow Helmet,142262,50,ok
107,Hammer and pegs 2,142977,50,ok
1070,Fisher Price Train Set,142263,50,ok
1072,Pink Wooden Train Set,142265,50,ok
1076,Duplo Cake Set,142269,100,ok
1077,Wooden Tool Trolley,142270,100,ok
1079,Weplay Blocks,142272,200,ok
108,Funny Animal Match Up,141436,50,ok
1081,Fairy Costume,142274,50,ok
1085,Little Tikes Sports and Slide,142278,200,ok
1086,Giant Spinning Top,142279,200,ok
1088,Pink Scooter,142281,50,ok
1089,Princess Elise Magnetic Dress Up,142282,50,ok
1090,Junior Bouncer Trampoline,142283,200,ok
1091,Baby Bouncer Tiny Love,142284,200,ok
1096,FM Radio,142289,50,ok
1097,Little Tikes Wagon,142290,200,ok
1098,Duplo Supermarket-Cafe,142291,100,ok
1099,Playskool Magic Tea Party,142292,50,ok
1100,Cozy Coupe Shopping Cart,142293,100,ok
1102,Ice Cream Parlour,142295,50,ok
1103,Step 2 Rollercoaster,142296,200,ok
1104,Step 2 Cafe Barista,142297,100,ok
1107,Healthy Salad,142300,100,ok
1111,Clippo,142304,50,ok
1119,Little tikes Car Carrier,142308,200,ok
112,Duplo Jurassic World,142981,200,ok
1122,Wooden Microwave,142311,100,ok
1124,Magnetic Counting Set - Numbers,142313,50,ok
113,Paw Patrol My Size Lookout Tower,142982,300,ok
1132,Little Tikes Golf Set,142320,50,ok
1133,Little People School Bus,142321,50,ok
1135,Menagerie,142323,100,ok
1136,Tell the time game,142324,100,ok
1137,Junior Alpha Animals,142325,100,ok
1139,Bill Bells Busy Puzzles for kids,142327,50,ok
1141,Step 2 Folding slide,142328,200,ok
1142,Polydron Giant Set,142329,200,ok
1144,Pounce,142331,50,ok
1148,Olifu Balance Disc,142335,200,ok
1149,Duplo House,142336,200,ok
1150,Little Tikes Ball Drop Water Table,142337,200,ok
1155,Fisher Price Letters Postbox,142341,100,ok
1158,Shapes Picnic Basket,142344,100,ok
1159,Lightning McQueen Racing Suit,142345,50,ok
116,Paw Patrol Rubble and Marshal (button to speak),142984,100,ok
1161,Balls,142347,100,ok
1162,WOW PLAYSET,142348,100,ok
1164,Melissa & Doug Latches Board,142350,100,ok
1166,Melissa & Doug Basic Skills Board,142352,100,ok
1169,Interactive Farm,142355,200,ok
117,Humdinger Family Set,141444,100,ok
1174,Cutting Food Set,142360,50,ok
1177,Family speed boat,142363,50,ok
118,Paw Patrol Rocky's Tugboat,142985,100,ok
1180,Little People Farm,142365,50,ok
1183,Superman costume,142368,50,ok
1184,Teenage Mutant Ninja Turtles Costume,142369,50,ok
1188,trampoline,142373,200,ok
1190,Calendar,142374,50,ok
1191,Big Wheel Scooter,142375,300,ok
1197,Stroller- front swivel wheel,142381,50,ok
1199,Thomas Trains Set,142383,200,ok
12,Pink Barbie helmet,142907,50,ok
120,Cruzee Gold Balance Bike,142986,300,ok
1203,Police Plane Pete,142387,100,ok
1206,Fire engine Flynn-take n play,142390,100,ok
1208,Thomas Shark Exhibit- take n play,142392,100,ok
121,Cruzee Red Balance Bike,142987,300,ok
1214,Dora Bath Doll,142398,50,ok
1215,Marios Pizza,142399,100,ok
