toy_id,toy_name,Status,Date purchased,Category,Age Range,Manufacturer,Edit,description,photo_file_desc,setls_internal_id,setls_h1_raw,setls_title_for_photo,fetch_status,matched_toy_name,desc_match_score,matched_on,filename_same_as_csv_id,photo_path_desc
1,latches board 2,In library,2017-09-08,Baby: Toys for 0-2,12-36mths,Melissa and Doug,Edit,,142928.jpg,142928,1: latches board 2,latches board 2,ok,latches board 2,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142928.jpg
10,CAT mini loader,In library,2020-08-08,Preschool: 2+ yr olds,1-5yrs,CAT,Edit,,,,,,,,,,,
100,disney cars duplo set,In library,2018-01-22,"Construction: Blocks, trains, magnets...",3-5yrs,Lego,Edit,,142971.jpg,142971,100: disney cars duplo set,disney cars duplo set,ok,disney cars duplo set,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142971.jpg
1000,container ship,In library,,Preschool: 2+ yr olds,3 years +,,Edit,Storage location: Preschoolers,142199.jpg,142199,1000: container ship,container ship,ok,container ship,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142199.jpg
1002,Brainbox Plug and Play,In library,,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,,Edit,"Storage location: Over Toddlers years, red alarm and #22 donnullt seem to be working,have put out back, buy another set/ spares",,,,,,,,,,
1006,Kazam Red Bike,In library,,Big: Big\outdoor\ride on,,,Edit,Storage location: Big toys and ride-ons,142204.jpg,142204,1006: Kazam Red Bike,Kazam Red Bike,ok,Kazam Red Bike,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142204.jpg
1007,Feed the Frog Golf Set,In library,,Preschool: 2+ yr olds,3 years +,,Edit,Storage location: Preschoolers,142205.jpg,142205,1007: Feed the Frog Golf Set,Feed the Frog Golf Set,ok,Feed the Frog Golf Set,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142205.jpg
1009,Count & Scan Shop,On loan,,Preschool: 2+ yr olds,2-5 years,Leap Frog,Edit,Storage location: Toddlers,,,,,,,,,,
101,duplo mini airport set,In library,2018-02-03,"Construction: Blocks, trains, magnets...",2-5 years,Duplo,Edit,,142972.jpg,142972,101: duplo mini airport set,duplo mini airport set,ok,duplo mini airport set,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142972.jpg
1011,Duplo Rescue Set,On loan,,"Construction: Blocks, trains, magnets...",3 years +,Duplo,Edit,Storage location: Construction,142209.jpg,142209,1011: Duplo Rescue Set,Duplo Rescue Set,ok,Duplo Rescue Set,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142209.jpg
1013,Wooden Garage/Road Builder and Characters,In library,,"Construction: Blocks, trains, magnets...",3 years +,,Edit,Storage location: Preschoolers,,,,,,,,,,
1014,Train Magnets,In library,,Preschool: 2+ yr olds,3 years +,,Edit,Storage location: Preschoolers,142212.jpg,142212,1014: Train Magnets,Train Magnets,ok,Train Magnets,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142212.jpg
1015,Push a long rainbow,In library,,Baby: Toys for 0-2,12-36mths,,Edit,Storage location: Babies,142213.JPG,142213,1015: Push a long rainbow,Push a long rainbow,ok,Push a long rainbow,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142213.JPG
1016,Best friends Playhouse,In library,,Preschool: 2+ yr olds,18 mths +,,Edit,"Storage location: Toddlers, house, car, girl 2 yellow fences, blue table and chair",142214.jpg,142214,1016: Best friends Playhouse,Best friends Playhouse,ok,Best friends Playhouse,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142214.jpg
1017,Wooden Sushi Set,Missing,,Preschool: 2+ yr olds,3 years +,Melissa and Doug,Edit,Storage location: Preschoolers,,,,,,,,,,
1018,Stand n Play Ramp,In library,,Big: Big\outdoor\ride on,18 mths +,Fisher Price,Edit,"Storage location: Toddlers, with black littlepeople car",142216.jpg,142216,1018: Stand n Play Ramp,Stand n Play Ramp,ok,Stand n Play Ramp,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142216.jpg
102,Teclife Scooter,In library,2020-02-15,Big: Big\outdoor\ride on,5 years +,Unknown,Edit,,,,,,,,,,,
1021,Bloktown Airport,In library,,"Construction: Blocks, trains, magnets...",3 years +,Megablocks,Edit,Storage location: Construction,142219.jpg,142219,1021: Bloktown Airport,Bloktown Airport,ok,Bloktown Airport,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142219.jpg
1027,Girls Helmet,In library,,Big: Big\outdoor\ride on,,,Edit,Storage location: Behind Issues,142223.jpg,142223,1027: Girls Helmet,Girls Helmet,ok,Girls Helmet,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142223.jpg
1028,Harold Helicopter,On loan (overdue),,Preschool: 2+ yr olds,18 mths +,Fisher Price,Edit,Storage location: Toddlers,142224.jpg,142224,1028: Harold Helicopter,Harold Helicopter,ok,Harold Helicopter,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142224.jpg
1029,Pop n Surprise Train 2,In library,,Baby: Toys for 0-2,18 mths +,,Edit,Storage location: Toddlers,,,,,,,,,,
103,duplo stables set,On loan,2018-02-03,"Construction: Blocks, trains, magnets...",2-5 years,Duplo,Edit,,142973.jpg,142973,103: duplo stables set,duplo stables set,ok,duplo stables set,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142973.jpg
1032,Polly Pocket Make up Table,In library,,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,Unknown,Edit,Storage location: Over Toddlers years,,,,,,,,,,
1035,Clippo Animals,In library,,Baby: Toys for 0-2,12-36mths,,Edit,"Storage location: Toddlers, clippo bricks Fisher Price in own container",142230.jpg,142230,1035: Clippo Animals,Clippo Animals,ok,Clippo Animals,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142230.jpg
1036,Fisher Price Ark,On loan,,Baby: Toys for 0-2,9-36mths,Fisher Price,Edit,"Storage location: Babies, Ark and giraffe, gorilla, elephant, bear",142231.jpg,142231,1036: Fisher Price Ark,Fisher Price Ark,ok,Fisher Price Ark,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142231.jpg
1037,Push & Go Turtle,In library,,Baby: Toys for 0-2,6-12mths,Unknown,Edit,Storage location: Babies,142232.jpg,142232,1037: Push & Go Turtle,Push & Go Turtle,ok,Push & Go Turtle,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142232.jpg
1038,Baby Jukebox,In library,,Baby: Toys for 0-2,6 - 36 mths,Fisher Price,Edit,Storage location: Babies,142233.jpg,142233,1038: Baby Jukebox,Baby Jukebox,ok,Baby Jukebox,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142233.jpg
104,Sparkly blue guitar,In library,2018-02-22,Music: CDs instruments and musical toys,12-36mths,,Edit,,142974.jpg,142974,104: Sparkly blue guitar,Sparkly blue guitar,ok,Sparkly blue guitar,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142974.jpg
1040,Tonka Tool Kit,In library,,Preschool: 2+ yr olds,18 mths +,Tonka,Edit,"Storage location: Toddlers, Tool Kit and hat and belt",,,,,,,,,,
1043,Firetruck,In library,,Big: Big\outdoor\ride on,12-36mths,,Edit,"Storage location: Big toys and ride-ons, ""Little Tikes Fire Engine with removable green water tank does not have hose""",142236.jpg,142236,1043: Firetruck,Firetruck,ok,Firetruck,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142236.jpg
1044,Giraffe costume,In library,,Dress-Ups: dressing up items,12-36mths,,Edit,Storage location: Water play,142237.jpg,142237,1044: Giraffe costume,Giraffe costume,ok,Giraffe costume,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142237.jpg
1045,Hey Thats My Fish,In library,,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,,Edit,Storage location: Over Toddlers years,142238.jpg,142238,1045: Hey Thats My Fish,Hey Thats My Fish,ok,Hey Thats My Fish,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142238.jpg
1047,Kids of Catan,In library,,"Over 5: Harder puzzles, games, small pieces, Lego",4 years +,,Edit,Storage location: Games,142240.jpg,142240,1047: Kids of Catan,Kids of Catan,ok,Kids of Catan,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142240.jpg
1048,Brain Box ABC,In library,,Puzzles and games: For under 5s,4 years +,,Edit,"Storage location: Games, instruction card, sand timer, die and 52 play cards in own box",142241.jpg,142241,1048: Brain Box ABC,Brain Box ABC,ok,Brain Box ABC,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142241.jpg
1049,You Robot,In library,,"Over 5: Harder puzzles, games, small pieces, Lego",,,Edit,Storage location: Games,142242.jpg,142242,1049: You Robot,You Robot,ok,You Robot,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142242.jpg
105,Multi instrument guitar,In library,2020-07-11,Music: CDs instruments and musical toys,12-36mths,,Edit,,,,,,,,,,,
1050,First Hand,In library,,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,,Edit,Storage location: Games,142243.jpg,142243,1050: First Hand,First Hand,ok,First Hand,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142243.jpg
1051,Chicken Cha Cha Cha,In library,,Puzzles and games: For under 5s,4 years +,,Edit,Storage location: Games,,,,,,,,,,
1053,Black/White Board,In library,,Big: Big\outdoor\ride on,2-5 years,,Edit,"Storage location: Numeracy, Literacy and Science, Easel with white board and black board",,,,,,,,,,
1054,Rocking horse,In library,,Big: Big\outdoor\ride on,1-5yrs,,Edit,"Storage location: Big toys and ride-ons, Wooden rocking horse",,,,,,,,,,
1055,Mega Blocks Work Bench,In library,,"Construction: Blocks, trains, magnets...",1-5yrs,Megablocks,Edit,"Storage location: Construction, Mega Blocks Work Station -tools and blocks in a red box",142248.jpg,142248,1055: Mega Blocks Work Bench,Mega Blocks Work Bench,ok,Mega Blocks Work Bench,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142248.jpg
1056,Fisher Price Fun town railway,In library,,Preschool: 2+ yr olds,1-5yrs,Fisher Price,Edit,"Storage location: Toddlers, Fisher Price train track with train, and driver",142249.jpg,142249,1056: Fisher Price Fun town railway,Fisher Price Fun town railway,ok,Fisher Price Fun town railway,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142249.jpg
1058,Little people building blocks,In library,,Big: Big\outdoor\ride on,1-5yrs,Fisher Price,Edit,"Storage location: Construction, Little people builders set in plastic container with tan coloured roof ramp",142251.jpg,142251,1058: Little people building blocks,Little people building blocks,ok,Little people building blocks,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142251.jpg
106,Hammer and pegs 1,In library,2018-02-24,Baby: Toys for 0-2,9-36mths,,Edit,,142976.jpg,142976,106: Hammer and pegs 1,Hammer and pegs 1,ok,Hammer and pegs 1,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142976.jpg
1061,Count and Scan Shop,In library,,Preschool: 2+ yr olds,2-5 years,Leap Frog,Edit,Storage location: Toddlers,,,,,,,,,,
1062,Kids of Carcassonne,On loan (overdue),,"Over 5: Harder puzzles, games, small pieces, Lego",4 years +,,Edit,Storage location: Games,142255.jpg,142255,1062: Kids of Carcassonne,Kids of Carcassonne,ok,Kids of Carcassonne,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142255.jpg
1063,Rivers Roads & Rails,In library,,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,,Edit,Storage location: Games,142256.jpg,142256,1063: Rivers Roads & Rails,Rivers Roads & Rails,ok,Rivers Roads & Rails,1.0,name,False,C:\Users\igori\GoIt\toy-library-app\toy_library_photos\142256.jpg
