toy_id,name,category,age_range,status,manufacturer,description,photo_url,photo_file
1,latches board 2,Baby: Toys for 0-2,12-36mths,In library,Melissa and Doug,,/photos/142928.jpg,142928.jpg
10,CAT mini loader,Preschool: 2+ yr olds,1-5yrs,In library,CAT,,,
100,disney cars duplo set,"Construction: Blocks, trains, magnets...",3-5yrs,In library,Lego,,/photos/142971.jpg,142971.jpg
1000,container ship,Preschool: 2+ yr olds,3 years +,In library,,Storage location: Preschoolers,/photos/142199.jpg,142199.jpg
1002,Brainbox Plug and Play,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,In library,,"Storage location: Over Toddlers years, red alarm and #22 donnullt seem to be working,have put out back, buy another set/ spares",,
1006,Kazam Red Bike,Big: Big\outdoor\ride on,,In library,,Storage location: Big toys and ride-ons,/photos/142204.jpg,142204.jpg
1007,Feed the Frog Golf Set,Preschool: 2+ yr olds,3 years +,In library,,Storage location: Preschoolers,/photos/142205.jpg,142205.jpg
1009,Count & Scan Shop,Preschool: 2+ yr olds,2-5 years,On loan,Leap Frog,Storage location: Toddlers,,
101,duplo mini airport set,"Construction: Blocks, trains, magnets...",2-5 years,In library,Duplo,,/photos/142972.jpg,142972.jpg
1011,Duplo Rescue Set,"Construction: Blocks, trains, magnets...",3 years +,On loan,Duplo,Storage location: Construction,/photos/142209.jpg,142209.jpg
1013,Wooden Garage/Road Builder and Characters,"Construction: Blocks, trains, magnets...",3 years +,In library,,Storage location: Preschoolers,,
1014,Train Magnets,Preschool: 2+ yr olds,3 years +,In library,,Storage location: Preschoolers,/photos/142212.jpg,142212.jpg
1015,Push a long rainbow,Baby: Toys for 0-2,12-36mths,In library,,Storage location: Babies,/photos/142213.JPG,142213.JPG
1016,Best friends Playhouse,Preschool: 2+ yr olds,18 mths +,In library,,"Storage location: Toddlers, house, car, girl 2 yellow fences, blue table and chair",/photos/142214.jpg,142214.jpg
1017,Wooden Sushi Set,Preschool: 2+ yr olds,3 years +,Missing,Melissa and Doug,Storage location: Preschoolers,,
1018,Stand n Play Ramp,Big: Big\outdoor\ride on,18 mths +,In library,Fisher Price,"Storage location: Toddlers, with black littlepeople car",/photos/142216.jpg,142216.jpg
102,Teclife Scooter,Big: Big\outdoor\ride on,5 years +,In library,Unknown,,,
1021,Bloktown Airport,"Construction: Blocks, trains, magnets...",3 years +,In library,Megablocks,Storage location: Construction,/photos/142219.jpg,142219.jpg
1027,Girls Helmet,Big: Big\outdoor\ride on,,In library,,Storage location: Behind Issues,/photos/142223.jpg,142223.jpg
1028,Harold Helicopter,Preschool: 2+ yr olds,18 mths +,On loan (overdue),Fisher Price,Storage location: Toddlers,/photos/142224.jpg,142224.jpg
1029,Pop n Surprise Train 2,Baby: Toys for 0-2,18 mths +,In library,,Storage location: Toddlers,,
103,duplo stables set,"Construction: Blocks, trains, magnets...",2-5 years,On loan,Duplo,,/photos/142973.jpg,142973.jpg
1032,Polly Pocket Make up Table,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,In library,Unknown,Storage location: Over Toddlers years,,
1035,Clippo Animals,Baby: Toys for 0-2,12-36mths,In library,,"Storage location: Toddlers, clippo bricks Fisher Price in own container",/photos/142230.jpg,142230.jpg
1036,Fisher Price Ark,Baby: Toys for 0-2,9-36mths,On loan,Fisher Price,"Storage location: Babies, Ark and giraffe, gorilla, elephant, bear",/photos/142231.jpg,142231.jpg
1037,Push & Go Turtle,Baby: Toys for 0-2,6-12mths,In library,Unknown,Storage location: Babies,/photos/142232.jpg,142232.jpg
1038,Baby Jukebox,Baby: Toys for 0-2,6 - 36 mths,In library,Fisher Price,Storage location: Babies,/photos/142233.jpg,142233.jpg
104,Sparkly blue guitar,Music: CDs instruments and musical toys,12-36mths,In library,,,/photos/142974.jpg,142974.jpg
1040,Tonka Tool Kit,Preschool: 2+ yr olds,18 mths +,In library,Tonka,"Storage location: Toddlers, Tool Kit and hat and belt",,
1043,Firetruck,Big: Big\outdoor\ride on,12-36mths,In library,,"Storage location: Big toys and ride-ons, ""Little Tikes Fire Engine with removable green water tank does not have hose""",/photos/142236.jpg,142236.jpg
1044,Giraffe costume,Dress-Ups: dressing up items,12-36mths,In library,,Storage location: Water play,/photos/142237.jpg,142237.jpg
1045,Hey Thats My Fish,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,In library,,Storage location: Over Toddlers years,/photos/142238.jpg,142238.jpg
1047,Kids of Catan,"Over 5: Harder puzzles, games, small pieces, Lego",4 years +,In library,,Storage location: Games,/photos/142240.jpg,142240.jpg
1048,Brain Box ABC,Puzzles and games: For under 5s,4 years +,In library,,"Storage location: Games, instruction card, sand timer, die and 52 play cards in own box",/photos/142241.jpg,142241.jpg
1049,You Robot,"Over 5: Harder puzzles, games, small pieces, Lego",,In library,,Storage location: Games,/photos/142242.jpg,142242.jpg
105,Multi instrument guitar,Music: CDs instruments and musical toys,12-36mths,In library,,,,
